date,exchange_rate
2020-04-15,158.61
2020-04-14,158.61
2020-04-13,156.97
2020-04-12,158.56
2020-04-11,158.66
2020-04-10,158.26
2020-04-09,171.16
2020-04-08,173.48
2020-04-07,164.7
2020-04-06,171.49
2020-04-05,143.04
2020-04-04,144.73
2020-04-03,141.46
2020-04-02,141.56
2020-04-01,136
2020-03-31,133.42
2020-03-30,132.36
2020-03-29,124.5
2020-03-28,131.27
2020-03-27,131.79
2020-03-26,136.98
2020-03-25,136.35
2020-03-24,139.14
2020-03-23,136.64
2020-03-22,122.63
2020-03-21,132.46
2020-03-20,133.39
2020-03-19,136.99
2020-03-18,118.68
2020-03-17,116.69
2020-03-16,111.51
2020-03-15,123.46
2020-03-14,122.37
2020-03-13,135.4
2020-03-12,109.28
2020-03-11,194.46
2020-03-10,200.79
2020-03-09,202.72
2020-03-08,199.66
2020-03-07,237.55
2020-03-06,245.83
2020-03-05,228.21
2020-03-04,224.67
2020-03-03,223.77
2020-03-02,232.15
2020-03-01,217.85
2020-02-29,217.35
2020-02-28,227.43
2020-02-27,227.14
2020-02-26,224
2020-02-25,246.31
2020-02-24,265.9
2020-02-23,275.92
2020-02-22,262.51
2020-02-21,265.4
2020-02-20,257.8
2020-02-19,259.07
2020-02-18,283.66
2020-02-17,267.67
2020-02-16,259.03
2020-02-15,264.94
2020-02-14,286.48
2020-02-13,268.76
2020-02-12,267.07
2020-02-11,237.9
2020-02-10,223.7
2020-02-09,228.98
2020-02-08,223.76
2020-02-07,223.03
2020-02-06,213.19
2020-02-05,203.93
2020-02-04,188.2
2020-02-03,189.86
2020-02-02,188.36
2020-02-01,183.54
2020-01-31,179.75
2020-01-30,184.46
2020-01-29,173.55
2020-01-28,176.15
2020-01-27,169.99
2020-01-26,167.5
2020-01-25,160.12
2020-01-24,162.53
2020-01-23,162.62
2020-01-22,167.78
2020-01-21,169.21
2020-01-20,166.94
2020-01-19,166.95
2020-01-18,174.03
2020-01-17,170.23
2020-01-16,164.04
2020-01-15,166.1
2020-01-14,165.83
2020-01-13,143.78
2020-01-12,146.57
2020-01-11,142.59
2020-01-10,144.75
2020-01-09,137.76
2020-01-08,141.12
2020-01-07,143.13
2020-01-06,144.12
2020-01-05,135.39
2020-01-04,134.14
2020-01-03,133.94
2020-01-02,126.83
2020-01-01,130.25
2019-12-31,128.84
2019-12-30,131
2019-12-29,134.21
2019-12-28,127.83
2019-12-27,126.13
2019-12-26,125.32
2019-12-25,124.98
2019-12-24,127.66
2019-12-23,128.14
2019-12-22,132.35
2019-12-21,126.96
2019-12-20,128.48
2019-12-19,128.07
2019-12-18,132.96
2019-12-17,121.88
2019-12-16,132.51
2019-12-15,142.33
2019-12-14,141.74
2019-12-13,144.7
2019-12-12,144.77
2019-12-11,143.17
2019-12-10,145.69
2019-12-09,147.36
2019-12-08,150.66
2019-12-07,147.29
2019-12-06,148.83
2019-12-05,147.85
2019-12-04,145.49
2019-12-03,147.52
2019-12-02,149
2019-12-01,151.59
2019-11-30,151.8
2019-11-29,154.44
2019-11-28,151.06
2019-11-27,152.91
2019-11-26,147.67
2019-11-25,146.09
2019-11-24,140.23
2019-11-23,152.29
2019-11-22,150.31
2019-11-21,160.8
2019-11-20,174.24
2019-11-19,175.5
2019-11-18,177.96
2019-11-17,183.93
2019-11-16,182.41
2019-11-15,179.95
2019-11-14,184.58
2019-11-13,187.81
2019-11-12,186.98
2019-11-11,184.79
2019-11-10,188.97
2019-11-09,184.89
2019-11-08,183.9
2019-11-07,186.52
2019-11-06,191.38
2019-11-05,188.92
2019-11-04,186.28
2019-11-03,181.65
2019-11-02,183.25
2019-11-01,183.26
2019-10-31,182.43
2019-10-30,183.15
2019-10-29,191.32
2019-10-28,182.16
2019-10-27,184.22
2019-10-26,180.28
2019-10-25,181.65
2019-10-24,161.25
2019-10-23,162.7
2019-10-22,171.46
2019-10-21,174.63
2019-10-20,175.56
2019-10-19,172.02
2019-10-18,172.77
2019-10-17,177.3
2019-10-16,174.35
2019-10-15,180.68
2019-10-14,186.68
2019-10-13,181.04
2019-10-12,180
2019-10-11,180.74
2019-10-10,191.65
2019-10-09,193.23
2019-10-08,180.95
2019-10-07,180.2
2019-10-06,170.15
2019-10-05,176.22
2019-10-04,176.16
2019-10-03,175
2019-10-02,180.78
2019-10-01,176.05
2019-09-30,181
2019-09-29,169.27
2019-09-28,173.93
2019-09-27,174.36
2019-09-26,165.85
2019-09-25,169.87
2019-09-24,166.15
2019-09-23,200.68
2019-09-22,211.37
2019-09-21,215.16
2019-09-20,218.59
2019-09-19,220.29
2019-09-18,210.4
2019-09-17,208.15
2019-09-16,197.8
2019-09-15,189.49
2019-09-14,188.83
2019-09-13,181.43
2019-09-12,180.88
2019-09-11,178.47
2019-09-10,179.61
2019-09-09,181.04
2019-09-08,181.43
2019-09-07,178.36
2019-09-06,168.93
2019-09-05,175.35
2019-09-04,175.08
2019-09-03,179.12
2019-09-02,178.79
2019-09-01,171.2
2019-08-31,171.95
2019-08-30,168.18
2019-08-29,168.82
2019-08-28,172.87
2019-08-27,187.17
2019-08-26,188.44
2019-08-25,186.42
2019-08-24,190.82
2019-08-23,194.81
2019-08-22,193.58
2019-08-21,186.71
2019-08-20,196.47
2019-08-19,202.63
2019-08-18,194.67
2019-08-17,185.49
2019-08-16,185.29
2019-08-15,187.98
2019-08-14,186.21
2019-08-13,208.21
2019-08-12,211.15
2019-08-11,216.06
2019-08-10,206.17
2019-08-09,210.12
2019-08-08,219.02
2019-08-07,226.1
2019-08-06,225.98
2019-08-05,232.9
2019-08-04,222.96
2019-08-03,221.67
2019-08-02,217.51
2019-08-01,217.47
2019-07-31,218.47
2019-07-30,209.77
2019-07-29,210.83
2019-07-28,210.81
2019-07-27,207.07
2019-07-26,219.58
2019-07-25,219.9
2019-07-24,216.51
2019-07-23,212.36
2019-07-22,216.89
2019-07-21,225.55
2019-07-20,228.5
2019-07-19,221.53
2019-07-18,226.33
2019-07-17,211.61
2019-07-16,198.71
2019-07-15,227.95
2019-07-14,226.33
2019-07-13,269.52
2019-07-12,275.59
2019-07-11,267.72
2019-07-10,288.73
2019-07-09,308.28
2019-07-08,313.63
2019-07-07,306.58
2019-07-06,287.87
2019-07-05,288.05
2019-07-04,283.86
2019-07-03,302.53
2019-07-02,290.66
2019-07-01,289.02
2019-06-30,289.5
2019-06-29,318
2019-06-28,309.74
2019-06-27,293.56
2019-06-26,334.21
2019-06-25,316.32
2019-06-24,311.05
2019-06-23,306.87
2019-06-22,308.92
2019-06-21,296.71
2019-06-20,272
2019-06-19,268.97
2019-06-18,264.23
2019-06-17,273.88
2019-06-16,268.67
2019-06-15,269.21
2019-06-14,263.76
2019-06-13,256.03
2019-06-12,263.72
2019-06-11,245.28
2019-06-10,247.39
2019-06-09,231.6
2019-06-08,244.2
2019-06-07,249.29
2019-06-06,249.03
2019-06-05,246.21
2019-06-04,240.89
2019-06-03,249.63
2019-06-02,269.4
2019-06-01,265.06
2019-05-31,262.71
2019-05-30,254.41
2019-05-29,269.36
2019-05-28,271.48
2019-05-27,271.63
2019-05-26,268.22
2019-05-25,252.19
2019-05-24,250.1
2019-05-23,245.92
2019-05-22,243.77
2019-05-21,255.06
2019-05-20,252.98
2019-05-19,260.73
2019-05-18,235.05
2019-05-17,244.92
2019-05-16,265.01
2019-05-15,249.95
2019-05-14,217.22
2019-05-13,196.2
2019-05-12,187.86
2019-05-11,192.54
2019-05-10,173.99
2019-05-09,170.02
2019-05-08,169.65
2019-05-07,166.79
2019-05-06,171.16
2019-05-05,161.31
2019-05-04,162.23
2019-05-03,165.09
2019-05-02,158.75
2019-05-01,158.63
2019-04-30,160.41
2019-04-29,152.31
2019-04-28,153.09
2019-04-27,155.47
2019-04-26,152.5
2019-04-25,152.19
2019-04-24,165.84
2019-04-23,171.06
2019-04-22,171.56
2019-04-21,170.13
2019-04-20,173.89
2019-04-19,174.24
2019-04-18,173.69
2019-04-17,166.61
2019-04-16,166.64
2019-04-15,160.39
2019-04-14,168.29
2019-04-13,164.01
2019-04-12,165.27
2019-04-11,164.87
2019-04-10,177.63
2019-04-09,175.97
2019-04-08,181.15
2019-04-07,174.88
2019-04-06,165.71
2019-04-05,166.05
2019-04-04,157.8
2019-04-03,160.92
2019-04-02,164.67
2019-04-01,140.93
2019-03-31,141.37
2019-03-30,142.06
2019-03-29,141
2019-03-28,137.4
2019-03-27,139.12
2019-03-26,133.15
2019-03-25,133.07
2019-03-24,135.45
2019-03-23,136.54
2019-03-22,136
2019-03-21,134.57
2019-03-20,138.67
2019-03-19,138.08
2019-03-18,137
2019-03-17,138.11
2019-03-16,140.62
2019-03-15,135.65
2019-03-14,131.46
2019-03-13,131.11
2019-03-12,132.77
2019-03-11,131.89
2019-03-10,134.64
2019-03-09,136.34
2019-03-08,132.91
2019-03-07,136.22
2019-03-06,137.03
2019-03-05,136.32
2019-03-04,125.38
2019-03-03,129.66
2019-03-02,132.32
2019-03-01,134.91
2019-02-28,134.7
2019-02-27,134.47
2019-02-26,135.95
2019-02-25,137.69
2019-02-24,131.82
2019-02-23,157.67
2019-02-22,146.61
2019-02-21,144.4
2019-02-20,147.98
2019-02-19,142.77
2019-02-18,144.56
2019-02-17,132.44
2019-02-16,121.83
2019-02-15,120.26
2019-02-14,119.28
2019-02-13,120.66
2019-02-12,120.91
2019-02-11,119.49
2019-02-10,123.88
2019-02-09,118.07
2019-02-08,118.27
2019-02-07,103.13
2019-02-06,103.44
2019-02-05,106.01
2019-02-04,106.09
2019-02-03,106.01
2019-02-02,109.18
2019-02-01,106.01
2019-01-31,105.7
2019-01-30,107.61
2019-01-29,104.01
2019-01-28,105.35
2019-01-27,111
2019-01-26,115.01
2019-01-25,114.98
2019-01-24,116.3
2019-01-23,116.45
2019-01-22,118.03
2019-01-21,116.01
2019-01-20,117.4
2019-01-19,123.6
2019-01-18,119.51
2019-01-17,122.43
2019-01-16,122.01
2019-01-15,120
2019-01-14,128.39
2019-01-13,115.35
2019-01-12,124.46
2019-01-11,125.77
2019-01-10,126.43
2019-01-09,149.42
